model,threshold,input_t1,output_t1,input_t2,output_t2
databricks-bge-large-en,0,1.0003e-07,0,,
databricks-claude-3-7-sonnet,0,2.99999e-06,1.500002e-05,,
databricks-claude-haiku-4-5,0,1.00002e-06,5.00003e-06,,
databricks-claude-opus-4,0,1.500002e-05,7.500003e-05,,
databricks-claude-opus-4-1,0,1.500002e-05,7.500003e-05,,
databricks-claude-opus-4-5,0,5.00003e-06,2.500001e-05,,
databricks-claude-sonnet-4,0,2.99999e-06,1.500002e-05,,
databricks-claude-sonnet-4-1,0,2.99999e-06,1.500002e-05,,
databricks-claude-sonnet-4-5,0,2.99999e-06,1.500002e-05,,
databricks-gemini-2-5-flash,0,3.0002e-07,2.49998e-06,,
databricks-gemini-2-5-pro,0,1.24999e-06,9.99999e-06,,
databricks-gemma-3-12b,0,1.5001e-07,5.0001e-07,,
databricks-gpt-5,0,1.24999e-06,9.99999e-06,,
databricks-gpt-5-1,0,1.24999e-06,9.99999e-06,,
databricks-gpt-5-mini,0,2.4997e-07,1.99997e-06,,
databricks-gpt-5-nano,0,4.998e-08,3.9998e-07,,
databricks-gpt-oss-120b,0,1.5001e-07,5.9997e-07,,
databricks-gpt-oss-20b,0,7e-08,3.0002e-07,,
databricks-gte-large-en,0,1.2999e-07,0,,
databricks-llama-2-70b-chat,0,5.0001e-07,1.50003e-06,,
databricks-llama-4-maverick,0,5.0001e-07,1.50003e-06,,
databricks-meta-llama-3-1-405b-instruct,0,5.00003e-06,1.500002e-05,,
databricks-meta-llama-3-1-8b-instruct,0,1.5001e-07,4.5003e-07,,
databricks-meta-llama-3-3-70b-instruct,0,5.0001e-07,1.50003e-06,,
databricks-meta-llama-3-70b-instruct,0,1.00002e-06,2.99999e-06,,
databricks-mixtral-8x7b-instruct,0,5.0001e-07,1.00002e-06,,
databricks-mpt-30b-instruct,0,1.00002e-06,1.00002e-06,,
databricks-mpt-7b-instruct,0,5.0001e-07,0,,
