model,threshold,input_t1,output_t1,input_t2,output_t2
claude-3-5-haiku-20241022,0,8e-07,4e-06,,
claude-3-5-sonnet-20240620,0,3e-06,1.5e-05,,
claude-3-5-sonnet-20241022,0,3e-06,1.5e-05,,
claude-3-haiku-20240307,0,2.5e-07,1.25e-06,,
claude-3-opus-20240229,0,1.5e-05,7.5e-05,,
claude-haiku-4-5-20251001,0,1e-06,5e-06,,
claude-opus-4-1,0,1.5e-05,7.5e-05,,
claude-opus-4-1-20250805,0,1.5e-05,7.5e-05,,
claude-opus-4-20250514,0,1.5e-05,7.5e-05,,
claude-opus-4-5,0,5e-06,2.5e-05,,
claude-opus-4-5-20251101,0,5e-06,2.5e-05,,
claude-sonnet-4-20250514,0,3e-06,1.5e-05,,
claude-sonnet-4-5,0,3e-06,1.5e-05,,
claude-sonnet-4-5-20250929,0,3e-06,1.5e-05,,
codestral-latest,0,1e-06,3e-06,,
deepseek-chat,0,2.8e-07,4.2e-07,,
deepseek-reasoner,0,2.8e-07,4.2e-07,,
gemini-1.5-flash,128000,7.5e-08,3e-07,1.5e-07,6e-07
gemini-1.5-pro,128000,3.5e-06,1.05e-05,7e-06,2.1e-05
gemini-2.0-flash,0,1e-07,4e-07,,
gemini-2.0-flash-lite,0,7.5e-08,3e-07,,
gemini-2.5-flash,0,3e-07,2.5e-06,,
gemini-2.5-flash-preview-04-17,0,1.5e-07,6e-07,,
gemini-2.5-pro,0,1.25e-06,1e-05,,
gemini-2.5-pro-preview-05-06,0,1.25e-06,1e-05,,
gpt-3.5-turbo,0,5e-07,1.5e-06,,
gpt-3.5-turbo-0125,0,5e-07,1.5e-06,,
gpt-4,0,3e-05,6e-05,,
gpt-4-0613,0,3e-05,6e-05,,
gpt-4-turbo,0,1e-05,3e-05,,
gpt-4-turbo-2024-04-09,0,1e-05,3e-05,,
gpt-4.1,0,2e-06,8e-06,,
gpt-4.1-2025-04-14,0,2e-06,8e-06,,
gpt-4.1-mini,0,4e-07,1.6e-06,,
gpt-4.1-mini-2025-04-14,0,4e-07,1.6e-06,,
gpt-4.1-nano,0,1e-07,4e-07,,
gpt-4.1-nano-2025-04-14,0,1e-07,4e-07,,
gpt-4.5-preview,0,7.5e-05,0.00015,,
gpt-4.5-preview-2025-02-27,0,7.5e-05,0.00015,,
gpt-4o,0,2.5e-06,1e-05,,
gpt-4o-2024-05-13,0,5e-06,1.5e-05,,
gpt-4o-2024-08-06,0,2.5e-06,1e-05,,
gpt-4o-2024-11-20,0,2.5e-06,1e-05,,
gpt-4o-mini,0,1.5e-07,6e-07,,
gpt-4o-mini-2024-07-18,0,1.5e-07,6e-07,,
llama-3.1-8b-instant,0,5e-08,8e-08,,
llama-3.3-70b-versatile,0,5.9e-07,7.9e-07,,
mistral-large-latest,0,5e-07,1.5e-06,,
mistral-medium-latest,0,4e-07,2e-06,,
mistral-small-latest,0,6e-08,1.8e-07,,
o1,0,1.5e-05,6e-05,,
o1-2024-12-17,0,1.5e-05,6e-05,,
o1-mini,0,1.1e-06,4.4e-06,,
o1-mini-2024-09-12,0,3e-06,1.2e-05,,
o1-preview,0,1.5e-05,6e-05,,
o1-pro,0,0.00015,0.0006,,
o1-pro-2025-03-19,0,0.00015,0.0006,,
o3,0,2e-06,8e-06,,
o3-2025-04-16,0,2e-06,8e-06,,
o3-mini,0,1.1e-06,4.4e-06,,
o3-mini-2025-01-31,0,1.1e-06,4.4e-06,,
o3-pro,0,2e-05,8e-05,,
o3-pro-2025-06-10,0,2e-05,8e-05,,
o4-mini,0,1.1e-06,4.4e-06,,
o4-mini-2025-04-16,0,1.1e-06,4.4e-06,,
text-embedding-3-large,0,1.3e-07,0,,
text-embedding-3-small,0,2e-08,0,,
text-embedding-ada-002,0,1e-07,0,,
