model,threshold,input_t1,output_t1,input_t2,output_t2
WhereIsAI/UAE-Large-V1,0,1.6e-08,0,,
accounts/fireworks/models/chronos-hermes-13b-v2,0,2e-07,2e-07,,
accounts/fireworks/models/code-llama-13b,0,2e-07,2e-07,,
accounts/fireworks/models/code-llama-13b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/code-llama-13b-python,0,2e-07,2e-07,,
accounts/fireworks/models/code-llama-34b,0,9e-07,9e-07,,
accounts/fireworks/models/code-llama-34b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/code-llama-34b-python,0,9e-07,9e-07,,
accounts/fireworks/models/code-llama-70b,0,9e-07,9e-07,,
accounts/fireworks/models/code-llama-70b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/code-llama-70b-python,0,9e-07,9e-07,,
accounts/fireworks/models/code-llama-7b,0,2e-07,2e-07,,
accounts/fireworks/models/code-llama-7b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/code-llama-7b-python,0,2e-07,2e-07,,
accounts/fireworks/models/code-qwen-1p5-7b,0,2e-07,2e-07,,
accounts/fireworks/models/codegemma-2b,0,1e-07,1e-07,,
accounts/fireworks/models/codegemma-7b,0,2e-07,2e-07,,
accounts/fireworks/models/cogito-671b-v2-p1,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/cogito-v1-preview-llama-3b,0,1e-07,1e-07,,
accounts/fireworks/models/cogito-v1-preview-llama-70b,0,9e-07,9e-07,,
accounts/fireworks/models/cogito-v1-preview-llama-8b,0,2e-07,2e-07,,
accounts/fireworks/models/cogito-v1-preview-qwen-14b,0,2e-07,2e-07,,
accounts/fireworks/models/cogito-v1-preview-qwen-32b,0,9e-07,9e-07,,
accounts/fireworks/models/dbrx-instruct,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/deepseek-coder-1b-base,0,1e-07,1e-07,,
accounts/fireworks/models/deepseek-coder-33b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/deepseek-coder-7b-base,0,2e-07,2e-07,,
accounts/fireworks/models/deepseek-coder-7b-base-v1p5,0,2e-07,2e-07,,
accounts/fireworks/models/deepseek-coder-7b-instruct-v1p5,0,2e-07,2e-07,,
accounts/fireworks/models/deepseek-coder-v2-instruct,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/deepseek-coder-v2-lite-base,0,5e-07,5e-07,,
accounts/fireworks/models/deepseek-coder-v2-lite-instruct,0,5e-07,5e-07,,
accounts/fireworks/models/deepseek-prover-v2,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/deepseek-r1,0,3e-06,8e-06,,
accounts/fireworks/models/deepseek-r1-0528,0,3e-06,8e-06,,
accounts/fireworks/models/deepseek-r1-0528-distill-qwen3-8b,0,2e-07,2e-07,,
accounts/fireworks/models/deepseek-r1-basic,0,5.5e-07,2.19e-06,,
accounts/fireworks/models/deepseek-r1-distill-llama-70b,0,9e-07,9e-07,,
accounts/fireworks/models/deepseek-r1-distill-llama-8b,0,2e-07,2e-07,,
accounts/fireworks/models/deepseek-r1-distill-qwen-14b,0,2e-07,2e-07,,
accounts/fireworks/models/deepseek-r1-distill-qwen-1p5b,0,1e-07,1e-07,,
accounts/fireworks/models/deepseek-r1-distill-qwen-32b,0,9e-07,9e-07,,
accounts/fireworks/models/deepseek-r1-distill-qwen-7b,0,2e-07,2e-07,,
accounts/fireworks/models/deepseek-v2-lite-chat,0,5e-07,5e-07,,
accounts/fireworks/models/deepseek-v2p5,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/deepseek-v3,0,9e-07,9e-07,,
accounts/fireworks/models/deepseek-v3-0324,0,9e-07,9e-07,,
accounts/fireworks/models/deepseek-v3p1,0,5.6e-07,1.68e-06,,
accounts/fireworks/models/deepseek-v3p1-terminus,0,5.6e-07,1.68e-06,,
accounts/fireworks/models/deepseek-v3p2,0,5.6e-07,1.68e-06,,
accounts/fireworks/models/devstral-small-2505,0,9e-07,9e-07,,
accounts/fireworks/models/dobby-mini-unhinged-plus-llama-3-1-8b,0,2e-07,2e-07,,
accounts/fireworks/models/dobby-unhinged-llama-3-3-70b-new,0,9e-07,9e-07,,
accounts/fireworks/models/dolphin-2-9-2-qwen2-72b,0,9e-07,9e-07,,
accounts/fireworks/models/dolphin-2p6-mixtral-8x7b,0,5e-07,5e-07,,
accounts/fireworks/models/ernie-4p5-21b-a3b-pt,0,1e-07,1e-07,,
accounts/fireworks/models/ernie-4p5-300b-a47b-pt,0,1e-07,1e-07,,
accounts/fireworks/models/fare-20b,0,9e-07,9e-07,,
accounts/fireworks/models/firefunction-v1,0,5e-07,5e-07,,
accounts/fireworks/models/firefunction-v2,0,9e-07,9e-07,,
accounts/fireworks/models/firellava-13b,0,2e-07,2e-07,,
accounts/fireworks/models/firesearch-ocr-v6,0,2e-07,2e-07,,
accounts/fireworks/models/flux-1-dev,0,1e-07,1e-07,,
accounts/fireworks/models/flux-1-dev-controlnet-union,0,1e-09,1e-09,,
accounts/fireworks/models/flux-1-schnell,0,1e-07,1e-07,,
accounts/fireworks/models/gemma-2b-it,0,1e-07,1e-07,,
accounts/fireworks/models/gemma-3-27b-it,0,9e-07,9e-07,,
accounts/fireworks/models/gemma-7b,0,2e-07,2e-07,,
accounts/fireworks/models/gemma-7b-it,0,2e-07,2e-07,,
accounts/fireworks/models/gemma2-9b-it,0,2e-07,2e-07,,
accounts/fireworks/models/glm-4p5,0,5.5e-07,2.19e-06,,
accounts/fireworks/models/glm-4p5-air,0,2.2e-07,8.8e-07,,
accounts/fireworks/models/glm-4p5v,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/glm-4p6,0,5.5e-07,2.19e-06,,
accounts/fireworks/models/glm-4p7,0,6e-07,2.2e-06,,
accounts/fireworks/models/gpt-oss-120b,0,1.5e-07,6e-07,,
accounts/fireworks/models/gpt-oss-20b,0,5e-08,2e-07,,
accounts/fireworks/models/gpt-oss-safeguard-120b,0,1.2e-06,1.2e-06,,
accounts/fireworks/models/gpt-oss-safeguard-20b,0,5e-07,5e-07,,
accounts/fireworks/models/hermes-2-pro-mistral-7b,0,2e-07,2e-07,,
accounts/fireworks/models/internvl3-38b,0,9e-07,9e-07,,
accounts/fireworks/models/internvl3-78b,0,9e-07,9e-07,,
accounts/fireworks/models/internvl3-8b,0,2e-07,2e-07,,
accounts/fireworks/models/kat-coder,0,9e-07,9e-07,,
accounts/fireworks/models/kat-dev-32b,0,9e-07,9e-07,,
accounts/fireworks/models/kat-dev-72b-exp,0,9e-07,9e-07,,
accounts/fireworks/models/kimi-k2-instruct,0,6e-07,2.5e-06,,
accounts/fireworks/models/kimi-k2-instruct-0905,0,6e-07,2.5e-06,,
accounts/fireworks/models/kimi-k2-thinking,0,6e-07,2.5e-06,,
accounts/fireworks/models/kimi-k2p5,0,6e-07,3e-06,,
accounts/fireworks/models/llama-guard-2-8b,0,2e-07,2e-07,,
accounts/fireworks/models/llama-guard-3-1b,0,1e-07,1e-07,,
accounts/fireworks/models/llama-guard-3-8b,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v2-13b,0,2e-07,2e-07,,
accounts/fireworks/models/llama-v2-13b-chat,0,2e-07,2e-07,,
