model,threshold,input_t1,output_t1,input_t2,output_t2
cohere--command-a-reasoning,0,0.00000063,0.00000505,,
mistralai--mistral-large-instruct,0,0.00000112,0.0000032,,
mistralai--mistral-small-instruct,0,0.00000005,0.00000015,,
mistralai--mistral-medium-instruct,0,0.00000036,0.00000122,,
nvidia--llama-3.2-nv-embedqa-1b,0,0.00000007,0,,
sap-abap-1,0,0.00000048,0.0000017,,
gpt-5,0,0.00000091,0.00000677,,
gpt-5-nano,0,0.00000004,0.00000028,,
gpt-5-mini,0,0.00000019,0.00000136,,
gpt-4o,0,0.00000159,0.00000616,,
gpt-4o-mini,0,0.00000009,0.00000039,,
gpt-4.1,0,0.00000129,0.00000494,,
gpt-4.1-nano,0,0.00000008,0.00000026,,
gpt-4.1-mini,0,0.00000026,0.00000099,,
o1,0,0.0000092,0.00003658,,
o3-mini,0,0.00000069,0.0000027,,
o3,0,0.0000061,0.00002436,,
o4-mini,0,0.00000069,0.0000027,,
text-embedding-ada-002,0,0.00000007,0,,
text-embedding-3-small,0,0.00000002,0,,
text-embedding-3-large,0,0.00000009,0,,
anthropic--claude-3-haiku,0,0.00000024,0.00000089,,
anthropic--claude-3.5-sonnet,0,0.00000204,0.00000988,,
anthropic--claude-3.7-sonnet,0,0.00000204,0.00000988,,
anthropic--claude-4-sonnet,0,0.00000204,0.00000988,,
anthropic--claude-4.5-sonnet,0,0.00000223,0.00001087,,
anthropic--claude-4.5-opus,0,0.00000367,0.00001806,,
anthropic--claude-4.5-haiku,0,0.00000079,0.00000367,,
anthropic--claude-4.6-opus,0,0.00000367,0.00001806,,
anthropic--claude-4.6-sonnet,0,0.00000223,0.00001087,,
amazon--titan-embed-text,0,0.00000014,0,,
amazon--titan-embed-image,0,0.00000066,0,,
amazon--nova-pro,0,0.00000056,0.00000213,,
amazon--nova-lite,0,0.00000004,0.00000016,,
amazon--nova-micro,0,0.00000003,0.0000001,,
sonar-pro,0,0.00000243,0.00001185,,
sonar,0,0.00000086,0.00000086,,
gemini-2.0-flash,0,0.00000012,0.0000004,,
gemini-2.0-flash-lite,0,0.00000007,0.00000021,,
gemini-2.5-pro,200000,0.00000087,0.00000647,0.00000167,0.00000966
gemini-2.5-flash,0,0.00000027,0.00000167,,
gemini-2.5-flash-lite,0,0.00000008,0.00000028,,
gemini-embedding,0,0.00000011,0,,
